853,972,76,53
592,636,73,22
99,114,42,80
695,1024,95,443
62,514,15,25
1098,430,95,443
406,757,90,25
1452,854,60,53
461,971,70,443
323,52,87,25
435,1012,90,443
825,281,47,53
57,774,14,443
1133,66,8,80
1231,530,57,25
72,679,34,53
75,789,38,80
482,394,95,25
1255,288,87,53
1349,587,25,22
998,789,94,80
842,147,74,22
378,519,37,443
1079,483,71,25
687,838,21,25
730,0,97,22
1171,836,2,53
1203,834,73,22
1005,729,15,53
334,880,89,80
1456,420,96,22
654,481,72,443
1056,41,31,80
1122,652,26,80
444,169,84,53
1165,854,95,22
1356,421,94,22
215,973,28,443
1411,962,100,53
1052,281,42,53
60,782,36,53
70,346,77,80
579,934,43,443
1200,92,62,443
1353,628,20,443
1140,750,29,80
202,449,39,25
168,818,37,25
608,298,60,25
397,559,20,22
571,920,40,80
1320,988,28,25
933,379,27,25
108,325,15,443
92,236,90,25
651,59,49,22
1124,146,22,22
1382,785,76,22
358,605,12,80
245,210,100,53
941,110,80,443
495,29,39,53
1203,880,80,53
528,989,68,25
208,677,94,80
1281,868,77,80
1154,159,75,25
855,174,16,443
1302,740,53,22
1211,258,8,443
1175,708,41,80
1199,694,17,22
1283,855,7,53
334,335,52,25
593,983,63,80
179,403,34,22
180,612,8,22
180,58,64,53
819,937,26,443
781,200,14,443
551,522,83,22
134,623,70,80
947,777,22,53
1490,818,43,80
555,17,10,443
953,348,28,80
1134,933,49,22
1380,560,77,80
697,722,9,53
1054,539,85,53
314,613,91,22
1341,878,37,22
199,164,85,25
1328,192,53,22
196,498,52,443
837,958,45,25
1149,535,10,22
859,1022,50,25
661,583,61,80
288,740,97,25
1321,228,55,80
622,723,54,443
942,15,45,53
1183,640,52,443
168,410,80,53
956,142,18,443
936,124,91,22
691,252,9,25
718,73,27,80
796,635,35,53
1292,48,91,443
566,837,95,443
945,841,10,443
748,665,25,53
771,881,4,25
641,64,73,80
551,829,39,80
1400,270,78,22
1129,374,44,80
349,933,52,53
1013,1013,100,443
1209,196,58,22
1273,226,100,22
970,702,63,443
1054,496,5,25
451,555,31,25
98,682,2,22
217,118,63,443
738,474,83,53
270,379,12,80
569,232,90,25
1085,823,73,80
468,550,10,53
1347,192,2,25
1464,573,8,22
485,827,90,53
341,513,77,25
1287,668,34,443
884,379,21,22
1044,127,61,22
1127,435,10,25
608,698,10,53
532,99,64,22
535,733,60,53
617,865,25,22
1337,642,91,80
1286,932,22,25
867,193,100,443
1230,66,44,25
472,128,38,80
637,241,64,53
1467,461,14,25
1035,34,16,80
860,848,82,53
549,741,86,22
1159,856,72,80
214,1000,26,53
1432,408,83,25
726,10,80,22
268,600,52,22
902,854,61,443
502,636,37,443
87,899,77,53
1152,203,91,25
982,13,69,443
860,376,96,53
179,369,57,22
83,156,82,80
1500,39,86,22
1066,732,13,25
1408,107,48,22
1047,113,60,443
975,119,20,80
521,837,61,25
223,109,24,22
1447,773,41,22
1211,483,66,443
1093,408,38,443
546,197,50,25
1138,228,25,443
955,160,11,80
403,106,38,443
555,498,22,53
1049,546,92,25
262,551,73,22
1402,634,67,22
172,230,38,22
1265,283,98,443
201,905,41,53
163,732,18,80
825,705,75,443
1128,50,78,25
1325,698,77,25
54,950,56,22
1104,443,70,80
544,804,22,53
1232,504,71,53
1293,312,99,80
1057,133,6,80
1179,714,2,53
